country,capital_city,latitude,longitude
afghanistan,kabul,34.5289,69.1725
albania,tirana,41.3275,19.8189
algeria,algiers,36.7525,3.042
american samoa,pago pago,-14.2781,-170.7025
andorra,andorra la vella,42.5078,1.5211
angola,luanda,-8.8368,13.2343
anguilla,the valley,18.217,-63.0578
antigua and barbuda,st. john's,17.1172,-61.8457
argentina,buenos aires,-34.6051,-58.4004
armenia,yerevan,40.182,44.5146
aruba,oranjestad,12.524,-70.027
australia,canberra,-35.2835,149.1281
austria,vienna,48.2064,16.3707
azerbaijan,baku,40.3777,49.892
bahamas,nassau,25.0582,-77.3431
bahrain,manama,26.2154,50.5832
bangladesh,dhaka,23.7104,90.4074
barbados,bridgetown,13.1,-59.6167
belarus,minsk,53.9,27.5667
belgium,bruxelles-brussel,50.8467,4.3499
belize,belmopan,17.25,-88.7667
benin,cotonou,6.3654,2.4183
bermuda,hamilton,32.2915,-64.778
bhutan,thimphu,27.4661,89.6419
bolivia (plurinational state of),la paz,-16.5,-68.15
bosnia and herzegovina,sarajevo,43.8486,18.3564
botswana,gaborone,-24.6545,25.9086
brazil,brasília,-15.7797,-47.9297
british virgin islands,road town,18.4167,-64.6167
brunei darussalam,bandar seri begawan,4.9403,114.9481
bulgaria,sofia,42.6975,23.3242
burkina faso,ouagadougou,12.3642,-1.5383
burundi,bujumbura,-3.3822,29.3644
cabo verde,praia,14.9215,-23.5087
cambodia,phnom penh,11.5625,104.916
cameroon,yaoundé,3.8667,11.5167
canada,ottawa-gatineau,45.4166,-75.698
caribbean netherlands,kralendijk,12.15,-68.2667
cayman islands,george town,19.2866,-81.3744
central african republic,bangui,4.3612,18.555
chad,n'djaména,12.1067,15.0444
channel islands,st. helier,49.188,-2.1049
channel islands,st. peter port,49.4598,-2.5353
chile,santiago,-33.4569,-70.6483
china,beijing,39.9075,116.3972
"china, hong kong sar",hong kong,22.2796,114.1887
"china, macao sar",macao,22.2006,113.5461
"china, taiwan province of china",taibei,25.047,121.5457
colombia,bogotá,4.6097,-74.0818
comoros,moroni,-11.7022,43.2551
congo,brazzaville,-4.2658,15.2832
cook islands,rarotonga,-21.23,-159.76
costa rica,san josé,9.9278,-84.0807
côte d'ivoire,abidjan,5.3453,-4.0268
croatia,zagreb,45.8144,15.978
cuba,havana,23.1195,-82.3785
curaçao,willemstad,12.1084,-68.9335
cyprus,nicosia,35.1595,33.3669
czechia,prague,50.088,14.4208
dem. people's republic of korea,p'yongyang,39.0339,125.7543
democratic republic of the congo,kinshasa,-4.3276,15.3136
denmark,copenhagen,55.6759,12.5655
djibouti,djibouti,11.5877,43.1447
dominica,roseau,15.3017,-61.3881
dominican republic,santo domingo,18.4896,-69.9018
ecuador,quito,-0.2299,-78.525
egypt,cairo,30.0392,31.2394
el salvador,san salvador,13.6894,-89.1872
equatorial guinea,malabo,3.75,8.7833
eritrea,asmara,15.3333,38.9333
estonia,tallinn,59.437,24.7535
ethiopia,addis ababa,9.025,38.7469
faeroe islands,tórshavn,62.0097,-6.7716
falkland islands (malvinas),stanley,-51.7012,-57.8494
fiji,suva,-18.1416,178.4415
finland,helsinki,60.1692,24.9402
france,paris,48.8534,2.3488
french guiana,cayenne,4.9333,-52.3333
french polynesia,papeete,-17.5333,-149.5667
gabon,libreville,0.3925,9.4537
gambia,banjul,13.4531,-16.6794
georgia,tbilisi,41.6941,44.8337
germany,berlin,52.5244,13.4105
ghana,accra,5.556,-0.1969
gibraltar,gibraltar,36.1447,-5.3526
greece,athens,37.9534,23.749
greenland,godthåb,64.1835,-51.7216
grenada,st.george's,12.0564,-61.7485
guadeloupe,basse-terre,15.9985,-61.7255
guam,hagåtña,13.4757,144.7489
guatemala,guatemala city,14.6127,-90.5307
guinea,conakry,9.5716,-13.6476
guinea-bissau,bissau,11.8636,-15.5977
guyana,georgetown,6.8045,-58.1553
haiti,port-au-prince,18.5392,-72.335
holy see,vatican city,41.9024,12.4533
honduras,tegucigalpa,14.0818,-87.2068
hungary,budapest,47.498,19.0399
iceland,reykjavík,64.1355,-21.8954
india,delhi,28.6667,77.2167
indonesia,jakarta,-6.2118,106.8416
iran (islamic republic of),tehran,35.6944,51.4215
iraq,baghdad,33.3406,44.4009
ireland,dublin,53.3331,-6.2489
isle of man,douglas,54.15,-4.4833
israel,jerusalem,31.769,35.2163
italy,rome,41.8947,12.4811
jamaica,kingston,17.997,-76.7936
japan,tokyo,35.6895,139.6917
jordan,amman,31.9552,35.945
kazakhstan,astana,51.1801,71.446
kenya,nairobi,-1.2833,36.8167
kiribati,tarawa,1.3272,172.9813
kuwait,kuwait city,29.3697,47.9783
kyrgyzstan,bishkek,42.87,74.59
lao people's democratic republic,vientiane,17.9667,102.6
latvia,riga,56.946,24.1059
lebanon,beirut,33.9,35.4833
lesotho,maseru,-29.3167,27.4833
liberia,monrovia,6.3005,-10.7969
libya,tripoli,32.8752,13.1875
liechtenstein,vaduz,47.1415,9.5215
lithuania,vilnius,54.6892,25.2798
luxembourg,luxembourg,49.6117,6.13
madagascar,antananarivo,-18.9137,47.5361
malawi,lilongwe,-13.9669,33.7873
malaysia,kuala lumpur,3.1412,101.6865
maldives,male,4.1748,73.5089
mali,bamako,12.65,-8.0
malta,valletta,35.8997,14.5147
marshall islands,majuro,7.0897,171.3803
martinique,fort-de-france,14.6089,-61.0733
mauritania,nouakchott,18.0858,-15.9785
mauritius,port louis,-20.1619,57.4989
mayotte,mamoudzou,-12.7794,45.2272
mexico,mexico city,19.4273,-99.1419
micronesia (fed. states of),palikir,6.9174,158.1588
monaco,monaco,43.7333,7.4167
mongolia,ulaanbaatar,47.9077,106.8832
montenegro,podgorica,42.4411,19.2636
montserrat,brades estate,16.7918,-62.2106
morocco,rabat,34.0133,-6.8326
mozambique,maputo,-25.9653,32.5892
myanmar,nay pyi taw,19.745,96.1297
namibia,windhoek,-22.5594,17.0832
nauru,nauru,-0.5308,166.9112
nepal,kathmandu,27.7017,85.3206
netherlands,amsterdam,52.374,4.8897
new caledonia,nouméa,-22.2763,166.4572
new zealand,wellington,-41.2866,174.7756
nicaragua,managua,12.1328,-86.2504
niger,niamey,13.5137,2.1098
